Date,Open
2020-08-11,93.066666
2010-09-30,1.466667
2022-08-15,301.786682
2021-05-24,193.866669
2022-09-15,301.829987
2013-09-09,10.874667
2016-07-13,15.033333
2010-08-13,1.212
2021-03-29,205.213333
2020-02-28,41.98
2020-10-02,140.463333
2016-12-27,14.325333
2013-08-27,10.82
2014-05-23,13.635333
2020-09-09,118.866669
2013-02-26,2.297333
2014-04-24,14.054
2020-08-21,136.317337
2019-07-11,15.876
2018-06-27,23.0
2022-05-18,248.17334
2016-05-17,13.936667
2016-06-30,14.198
2012-09-04,1.901333
2021-01-12,277.0
2012-03-07,2.208
2016-06-08,15.586667
2016-04-11,16.733334
2019-03-21,18.173332
2018-07-25,19.782667
2018-03-19,21.1
2010-07-30,1.346667
2013-12-20,9.438667
2015-01-28,13.740667
2011-12-29,1.906
2021-12-28,369.829987
2015-05-11,15.752667
2016-02-12,10.333333
2015-01-26,13.455333
2016-03-23,15.491333
2012-07-23,2.07
2022-06-30,224.509995
2013-11-01,10.866667
2013-08-30,11.091333
2011-05-03,1.825333
2012-04-10,2.21
2018-11-29,23.133333
2016-12-28,14.768667
2016-07-26,15.179333
2016-09-21,13.758
2014-06-25,15.536667
2020-04-06,34.080002
2019-06-20,14.866667
2011-12-14,1.966667
2017-01-20,16.364
2013-10-22,11.366667
2014-05-28,14.001333
2020-10-27,141.253326
2014-04-15,13.272667
2020-03-17,29.334
2022-03-14,260.203339
2021-12-01,386.899994
2011-02-02,1.610667
2014-07-11,14.707333
2018-08-27,21.200001
2012-12-13,2.350667
2014-10-13,15.904667
2021-01-25,285.0
2015-05-29,16.733334
2012-03-26,2.372667
2014-07-09,14.751333
2017-12-05,20.133333
2014-07-24,14.883333
2014-06-10,13.628667
2013-03-05,2.4
2011-03-17,1.549333
2016-04-08,17.366667
2015-02-04,14.552667
2015-09-21,17.598667
2015-02-11,14.147333
2019-04-15,17.908667
2021-07-26,216.990005
2020-05-12,55.133331
2011-06-13,1.871333
2015-02-19,13.666667
2017-03-07,16.794666
2016-03-17,14.764667
2020-06-24,66.274002
2020-06-08,61.266666
2017-04-21,20.133333
2012-09-12,1.86
2016-02-24,11.516667
2013-01-29,2.54
2013-03-13,2.6
2021-10-01,259.466675
2020-02-03,44.912666
2018-04-20,19.677999
2015-11-23,14.49
2020-07-21,109.328667
2017-02-13,18.049334
2019-08-19,14.947333
2015-03-25,13.218
2014-03-17,15.663333
2019-03-22,18.172001
2018-01-03,21.4
2013-03-15,2.442667
2014-07-23,14.667333
2017-02-23,17.6
2019-05-28,12.746667
2021-03-10,233.433334
2017-05-16,21.172667
2014-10-20,15.114667
2017-03-10,16.414
2021-12-30,353.776672
2022-04-18,329.676666
2019-09-06,15.146667
2012-12-28,2.225333
2017-08-24,23.501333
2019-11-05,21.308001
2018-09-14,19.250668
2017-12-14,22.733999
2018-01-12,22.575333
2022-07-14,234.896667
2019-05-13,15.467333
2016-09-08,13.303333
2016-10-28,13.6
2013-12-30,10.074667
2012-11-23,2.173333
2013-08-14,9.514667
2017-12-26,21.588667
2018-10-26,20.549999
2018-04-24,19.0
2021-09-07,246.666672
2010-12-27,1.868
2019-06-21,14.414667
2022-05-24,217.843338
2019-04-08,18.512667
2016-11-08,12.919333
2016-12-07,12.41
2018-06-07,21.076668
2014-01-27,11.677333
2013-11-06,10.320667
2020-06-10,66.125336
2015-09-28,17.156668
2017-07-13,22.007334
2010-07-13,1.159333
2019-04-01,18.841333
2017-09-20,24.866667
2016-03-16,14.533333
2017-08-29,22.632
2017-03-09,16.508667
2012-11-12,2.019333
2021-07-28,215.666672
2012-12-17,2.251333
2015-09-18,17.197332
2015-09-01,16.022667
2014-05-15,12.665333
2016-09-19,13.8
2022-01-04,396.516663
2012-07-06,2.066
2019-08-16,14.444
2014-05-01,13.805333
2020-06-18,66.866669
2022-08-18,306.0
2015-01-02,14.858
2013-04-30,3.733333
2018-06-11,21.500668
2021-04-20,239.139999
2011-11-01,1.892667
2020-10-20,143.916672
2020-11-27,193.720001
2021-07-22,218.813339
2022-07-08,242.333328
2017-08-08,23.835333
2015-02-23,14.377333
2013-07-24,8.298
2015-09-16,16.869333
2015-04-02,12.682
2010-07-02,1.533333
2017-11-16,20.932667
2018-08-22,21.391333
2019-11-22,22.677334
2014-03-26,14.796667
2019-04-10,18.449333
2015-07-16,17.614668
2011-05-10,1.882667
2017-04-24,20.614668
2016-06-27,12.724
2020-10-30,135.633331
2015-12-17,15.596
2011-06-28,1.852667
2021-11-05,409.333344
2011-06-22,1.824667
2018-08-01,19.865999
2020-12-08,208.503326
2017-05-12,21.698668
2012-01-05,1.850667
2021-03-24,222.636673
2017-02-22,18.687332
2021-07-29,216.596664
2022-05-23,218.339996
2017-12-15,22.802668
2016-02-25,11.91
2020-03-25,36.349998
2022-04-01,360.383331
2012-10-24,1.901333
2014-08-01,15.072667
2019-02-19,20.437332
2017-05-17,20.959333
2019-06-05,13.245333
2020-10-26,137.210007
2016-11-11,12.282667
2020-01-09,33.139999
2015-03-17,13.028667
2013-08-15,9.095333
2013-04-18,3.065333
2016-01-04,15.381333
2011-02-28,1.582667
2022-06-06,244.353333
2014-10-28,15.306667
2015-03-18,12.997333
2015-03-06,13.280667
2018-01-04,20.858
2021-04-28,232.136673
2016-06-24,12.67
2012-03-06,2.216667
2014-12-09,13.956
2012-04-25,2.138
2018-08-09,24.370001
2017-02-27,16.544666
2014-08-05,15.831333
2018-04-05,19.289333
2019-04-17,18.316668
2014-10-15,14.666667
2011-04-15,1.71
2012-05-22,2.006667
2020-01-27,36.132668
2013-06-17,6.906667
2015-12-18,15.526
2016-08-29,14.676667
2011-03-02,1.588
2020-03-05,48.251331
2016-09-22,13.76
2020-08-28,153.007996
2016-12-23,13.866667
2012-02-01,1.938
2017-02-09,17.75
2014-07-15,15.115333
2021-01-19,279.266663
2013-04-16,2.946
2014-01-14,9.366667
2012-07-10,2.102667
2019-10-04,15.440667
2013-02-04,2.56
2014-01-13,9.718667
2013-06-10,6.595333
2020-04-08,36.946667
2012-04-30,2.218
2016-06-10,15.159333
2011-02-16,1.54
2012-03-28,2.518667
2021-10-04,265.5
2013-12-03,8.845333
2013-08-19,9.562
2013-11-11,9.4
2020-05-19,54.344666
2021-10-15,274.579987
2018-10-19,17.826
2018-02-01,23.4
2014-05-21,13.078667
2022-02-03,294.0
2011-06-27,1.848667
2017-01-12,15.270667
2014-10-14,15.216667
2022-01-19,347.236664
2017-11-17,21.711332
2011-06-15,1.896
2022-05-03,301.059998
2014-01-29,11.686667
2015-02-03,14.214667
2013-01-03,2.345333
2016-05-26,14.7
2015-10-27,14.322667
2016-06-14,14.592
2020-01-23,37.616669
2017-12-08,20.973333
2020-09-28,141.539993
2015-07-10,17.481333
2018-06-18,23.693333
2014-09-04,18.934
2022-07-18,244.936661
2014-08-11,17.032
2020-04-03,33.966667
2017-12-28,20.783333
2019-03-07,18.589333
2013-09-11,11.094
2014-05-06,14.44
2013-11-12,9.646
2012-04-20,2.209333
2020-10-14,149.926666
2015-08-10,15.876667
2019-07-19,17.046
2016-09-09,13.272667
2021-11-29,366.996674
2017-06-08,24.25
2022-09-12,300.720001
2020-05-14,52.0
2013-09-20,11.926667
2018-04-04,16.851999
2022-09-16,299.609985
2013-02-13,2.553333
2017-11-29,21.153334
2020-05-15,52.689999
2018-01-16,22.502666
2020-01-10,32.119331
2012-05-04,2.154667
2012-11-15,2.086667
2014-09-02,18.366667
2012-04-02,2.488667
2012-01-27,1.9
2015-10-08,15.338667
2019-10-17,17.5
2012-10-04,2.0
2019-11-18,23.528
2014-04-14,13.84
2014-12-10,14.275333
2011-06-20,1.752667
2011-05-05,1.813333
2010-11-26,2.373333
2020-11-18,149.449997
2015-09-10,16.482
2015-09-02,16.353333
2018-01-29,22.656668
2022-08-30,287.869995
2014-10-17,15.558667
2022-04-29,300.75
2019-05-16,15.299333
2010-07-01,1.666667
2021-06-16,199.179993
2017-06-29,24.707333
2022-04-11,326.799988
2011-05-17,1.8
2015-03-09,12.959333
2014-03-25,14.942667
2013-11-25,8.3
2017-01-24,16.666668
2013-02-25,2.41
2011-12-19,1.872667
2010-10-19,1.346667
2021-11-12,349.166656
2021-01-27,290.116669
2017-01-09,15.264667
2011-06-07,1.929333
2017-07-03,24.682667
2017-08-25,23.615999
2015-02-06,14.8
2020-11-20,165.996674
2018-11-30,22.788668
2020-03-31,33.416668
2012-05-14,2.128
2021-07-06,227.236664
2013-07-02,7.883333
2012-04-24,2.121333
2021-09-21,244.929993
2013-08-21,10.0
2019-06-04,12.073333
2011-07-12,1.891333
2022-03-15,258.42334
2015-10-14,14.711333
2021-03-02,239.426666
2022-09-06,272.679993
2010-12-29,1.802
2019-04-09,18.110001
2021-03-18,228.096664
2022-01-12,359.616669
2011-08-11,1.602667
2012-08-13,1.979333
2013-07-16,8.418667
2011-04-26,1.777333
2019-04-30,16.137333
2021-09-16,250.943329
2012-09-07,1.903333
2015-07-29,17.618
2021-08-19,226.070007
2018-07-11,21.053333
2016-03-31,15.289333
2019-09-12,16.513332
2015-08-05,17.572001
2022-04-22,338.303345
2011-06-29,1.9
2012-08-10,1.954
2014-06-17,14.940667
2020-06-19,67.518669
2013-09-16,11.2
2020-04-28,53.042667
2020-01-16,32.916668
2017-02-14,18.601999
2020-07-02,81.431999
2015-12-30,15.773333
2012-07-27,1.914
2014-05-02,13.906667
2017-07-27,23.066668
2012-09-21,2.073333
2010-09-28,1.402667
2016-03-02,12.248667
2010-12-31,1.771333
2012-06-20,2.233333
2019-08-29,14.6
2022-07-07,233.919998
2016-11-04,12.6
2019-04-12,18.014668
2022-06-28,244.483337
2020-03-19,24.98
2011-11-16,2.232
2019-02-25,19.860666
2019-05-07,17.120001
2012-03-05,2.29
2021-10-06,258.733337
2015-07-27,17.495333
2011-04-29,1.846
2014-06-04,13.623333
2020-04-21,48.674667
2022-03-22,310.0
2016-12-09,12.724667
2021-11-30,381.456665
2016-09-07,13.7
2019-07-16,16.620001
2013-03-01,2.333333
2016-03-30,15.672667
2011-11-23,2.117333
2011-05-23,1.841333
2010-12-03,2.134
2016-05-11,13.839333
2016-02-17,10.6
2019-03-04,19.874666
2014-08-07,16.674667
2018-08-17,21.566668
2020-06-26,66.318665
2016-12-21,13.896667
2018-07-27,20.483334
2010-11-15,2.014667
2013-06-14,6.666667
2022-09-07,273.100006
2011-09-29,1.714667
2017-08-15,24.346666
2017-04-05,20.136
2020-12-30,224.0
2015-05-15,16.261999
2015-08-07,16.238667
2015-03-26,12.928
2014-01-10,9.897333
2018-08-31,20.133333
2019-09-26,15.377333
2011-06-01,2.0
2019-10-09,16.087999
2012-08-09,1.968
2010-12-08,2.165333
2016-04-28,16.656668
2019-09-20,16.432667
2021-03-09,202.726669
2018-08-13,24.075333
2020-09-25,131.156662
2018-01-19,23.0
2022-08-04,311.0
2019-11-14,23.073999
2013-09-25,12.237333
2014-09-26,16.549999
2013-06-19,6.804
2020-09-02,159.66333
2016-05-02,16.1
2014-02-10,12.622667
2017-01-13,15.333333
2022-06-13,223.166672
2021-05-11,199.746674
2020-09-29,138.666672
2013-01-30,2.523333
2012-07-18,2.094667
2019-02-28,21.261333
2018-03-06,22.25
2021-04-12,228.566666
2022-08-22,291.91333
2020-04-07,36.333332
2020-08-04,99.667336
2016-12-22,13.881333
2015-06-03,16.546667
2018-10-04,19.596666
2011-08-02,1.912667
2013-10-03,11.67
2016-07-08,14.52
2019-05-08,16.462667
2013-06-20,6.976667
2017-07-25,23.0
2012-05-29,2.000667
2010-09-20,1.378
2011-01-26,1.647333
2020-06-23,66.592003
2020-04-22,46.931999
2011-03-18,1.546
2014-06-23,15.300667
2022-06-03,243.226669
2012-05-25,2.010667
2017-12-27,21.066668
2016-02-01,12.584
2011-08-19,1.590667
2020-10-29,136.653336
2022-02-01,311.736664
2017-09-19,25.333332
2019-03-01,20.462667
2014-08-26,17.665333
2014-12-05,15.244667
2019-02-07,20.886667
2013-06-27,7.116667
2018-09-07,17.34
2012-05-03,2.260667
2012-05-31,2.004667
2016-03-29,15.326
2019-07-05,15.638
2021-09-01,244.693329
2022-07-13,225.5
2020-04-16,47.796001
2013-05-09,4.674667
2014-02-04,12.046667
2019-08-15,14.724
2017-05-02,21.6
2011-07-21,1.927333
2022-01-26,317.476654
2011-12-08,2.056
2011-09-09,1.558
2018-10-03,20.222
2015-11-20,14.899333
2020-06-25,63.618
2014-09-08,18.507999
2021-07-21,219.869995
2021-04-13,237.566666
2015-11-24,14.358
2014-09-16,17.01
2011-08-10,1.696
2021-01-20,286.246674
2012-07-03,2.04
2011-03-28,1.513333
2013-05-13,5.399333
2013-08-07,9.459333
2019-07-29,15.139333
2012-07-20,2.138
2011-03-21,1.536667
2014-10-01,16.146667
2013-05-02,3.59
2016-09-27,13.976667
2015-09-25,17.774
2014-05-07,13.976
2019-01-28,19.527332
2018-06-20,23.869333
2017-10-19,23.704
2020-07-17,100.896667
2018-06-22,23.436001
2010-10-20,1.344
2022-07-29,280.700012
2012-08-28,1.893333
2016-01-21,13.436667
2016-10-31,13.499333
2021-11-19,366.290009
2022-02-10,302.790009
2015-12-09,15.113333
2022-06-29,230.5
2022-08-17,303.396667
2018-11-12,23.224667
2018-03-23,20.75
2021-12-03,361.59668
2017-07-07,20.9
2020-10-06,141.263336
2012-03-02,2.293333
2022-05-11,265.0
2014-03-20,15.744
2014-08-29,17.913334
2018-12-20,21.803333
2018-12-19,22.506666
2021-06-04,193.236664
2018-11-28,23.066
2020-11-30,200.736664
2016-12-06,12.368
2012-11-21,2.174
2016-02-22,11.341333
2021-08-11,237.570007
2018-09-27,20.860001
2017-04-18,19.98
2014-01-28,11.433333
2011-05-09,1.8
2015-05-18,16.466667
2012-06-28,2.126667
2014-10-23,15.644
2014-09-15,18.291332
2020-02-05,54.883999
2015-01-30,13.597333
2020-09-14,126.98333
2015-08-12,15.666667
2014-10-21,15.618
2011-02-15,1.534
2012-03-21,2.329333
2011-07-06,1.942667
2011-05-13,1.866667
2019-09-16,16.4
2010-11-18,2.044667
2016-10-07,13.4
2013-04-01,2.824
2017-05-08,20.726667
2015-01-06,14.004
2021-12-29,366.213318
2013-03-21,2.396667
2015-12-11,15.016
2021-02-16,272.666656
2012-02-09,2.133333
2011-04-21,1.723333
2018-03-26,20.489332
2015-12-14,14.500667
2018-05-14,20.221333
2017-04-03,19.126667
2016-08-22,14.944667
2017-01-11,15.271333
2010-09-10,1.383333
