Date,Adj Close
2012-11-19,2.194667
2013-02-04,2.516
2012-07-19,2.151333
2018-08-27,21.284666
2018-08-01,20.056
2021-07-22,216.419998
2013-12-13,9.843333
2014-10-21,15.689333
2016-02-05,10.84
2012-10-19,1.849333
2011-11-09,2.058667
2016-05-19,14.347333
2017-04-24,20.535334
2017-09-14,25.176001
2020-03-12,37.369999
2018-03-26,20.278667
2013-01-10,2.235333
2018-08-21,21.459999
2015-10-22,14.114667
2011-01-21,1.536
2014-03-19,15.722667
2014-06-03,13.662667
2017-11-06,20.185333
2021-05-10,209.679993
2014-05-19,13.072667
2011-02-08,1.632667
2012-09-07,1.956667
2013-03-12,2.608
2013-11-13,9.246667
2018-07-06,20.593332
2019-05-31,12.344
2021-01-21,281.66333
2013-12-27,10.074667
2010-07-07,1.053333
2020-04-28,51.274666
2010-12-28,1.760667
2021-02-05,284.07666
2020-05-04,50.745998
2020-11-17,147.203339
2020-03-26,35.210667
2011-02-22,1.458
2015-03-31,12.584667
2010-11-19,2.066
2019-07-26,15.202667
2016-09-22,13.762
2015-11-10,14.433333
2017-06-21,25.093332
2010-11-10,1.957333
2022-03-07,268.193329
2010-12-10,2.101333
2016-04-14,16.790667
2014-07-08,14.604667
2022-04-14,328.333344
2013-05-06,3.966667
2020-09-21,149.796661
2016-04-21,16.552668
2014-12-29,15.047333
2021-08-26,233.720001
2016-04-28,16.514
2011-06-29,1.886
2022-03-08,274.799988
2015-11-12,14.196
2017-06-22,25.507334
2015-03-19,13.043333
2012-10-18,1.869333
2016-05-12,13.818667
2021-04-12,233.993332
2019-09-11,16.473333
2019-03-19,17.831333
2018-12-31,22.186666
2017-06-28,24.749332
2011-07-27,1.842667
2020-04-08,36.589333
2016-11-15,12.251333
2021-02-02,290.929993
2019-07-08,15.356
2017-05-15,21.058666
2022-07-14,238.313339
2019-12-19,26.936001
2014-01-08,10.085333
2010-12-03,2.099333
2015-04-22,14.629333
2019-08-23,14.093333
2020-07-14,101.120003
2019-01-22,19.927999
2015-07-28,17.654667
2015-11-13,13.812667
2011-02-04,1.564
2017-01-06,15.267333
2012-02-06,2.12
2013-11-11,9.646667
2017-11-16,20.833332
2012-03-07,2.208
2012-04-26,2.232667
2020-02-04,59.137333
2018-08-22,21.442667
2010-08-16,1.252
2017-03-17,17.433332
2016-02-17,11.245333
2020-09-24,129.263336
2014-11-07,16.013332
2020-12-16,207.589996
2011-04-29,1.84
2012-10-05,1.926
2017-04-04,20.246668
2022-04-19,342.716675
2019-02-12,20.787333
2021-05-04,224.53334
2013-03-07,2.548667
2018-06-27,22.966667
2017-10-26,21.744667
2015-10-06,16.097334
2017-12-11,21.927334
2021-06-18,207.770004
2012-08-21,1.940667
2019-05-24,12.708667
2016-08-19,15.0
2016-12-29,14.312
2020-10-28,135.339996
2017-01-31,16.795334
2013-06-03,6.172667
2019-08-12,15.267333
2021-10-04,260.51001
2022-04-06,348.58667
2016-10-12,13.434
2017-03-03,16.771334
2020-03-11,42.282001
2017-12-05,20.246668
2016-08-17,14.882667
2020-08-27,149.25
2017-05-31,22.733999
2017-10-17,23.716667
2019-04-01,19.278667
2019-04-04,17.851999
2021-10-29,371.333344
2011-01-06,1.858667
2011-05-16,1.773333
2015-10-26,14.350667
2017-02-03,16.755333
2011-11-01,1.925333
2019-07-29,15.718
2014-12-22,14.84
2016-10-26,13.482667
2021-10-26,339.476654
2017-08-30,23.545334
2016-11-01,12.719333
2013-05-13,5.853333
2016-07-12,14.976667
2015-09-14,16.879333
2015-09-28,16.562
2017-08-22,22.756666
2011-04-19,1.677333
2018-07-31,19.875999
2019-06-28,14.897333
2017-10-24,22.489332
2019-09-30,16.058001
2014-10-24,15.682667
2020-09-15,149.919998
2016-01-22,13.503333
2013-01-15,2.26
2019-01-03,20.024
2013-06-11,6.298
2019-06-04,12.906667
2021-06-09,199.593338
2012-12-19,2.307333
2021-04-07,223.656662
2018-09-14,19.68
2011-05-03,1.791333
2015-11-17,14.266667
2013-11-22,8.092
2021-11-18,365.459991
2011-10-13,1.862667
2012-01-24,1.828
2014-09-22,16.668667
2011-06-30,1.942
2016-03-01,12.423333
2012-09-24,2.044
2011-03-07,1.662667
2021-09-22,250.646667
2020-01-17,34.033333
2011-01-18,1.709333
2011-11-04,2.154
2014-08-18,17.329332
2022-06-07,238.886673
2015-04-07,13.55
2021-09-08,251.289993
2016-01-08,14.066667
2022-06-09,239.706665
2013-03-28,2.526
2013-08-14,9.290667
2018-04-19,20.005333
2017-10-12,23.712
2022-02-15,307.476654
2017-10-18,23.976667
2019-08-22,14.81
2021-04-28,231.46666
2014-02-07,12.435333
2015-04-20,13.684667
2019-11-01,20.887333
2013-04-19,3.188667
2010-07-23,1.419333
2020-06-05,59.043999
2012-02-28,2.254
2016-09-02,13.185333
2016-12-02,12.098
2020-03-18,24.081333
2020-10-08,141.973328
2017-11-03,20.406
2019-02-06,21.148001
2013-07-15,8.484
2019-05-23,13.032667
2021-12-28,362.823334
2014-03-06,16.862667
2021-09-10,245.42334
2011-03-08,1.644
2012-09-06,1.903333
2015-02-02,14.062667
2013-02-15,2.469333
2021-05-13,190.563339
2013-07-12,8.66
2014-04-21,13.625333
2014-03-07,16.414
2015-04-01,12.506
2018-05-31,18.982
2012-08-17,2.000667
2018-05-29,18.917334
2019-03-27,18.322001
2014-04-24,13.857333
2017-10-11,23.639999
